Date,Client,Project,Category,Duration,Cost,Notes
"2025-11-04T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Training",4,800,"-Email review and associated training.
-Discussion of customer introduction methods.
-Defined key contacts for customer outreach.
-ADFF event planning/review session."
"2025-11-05T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Training",0.8333333333333334,166.66666666666669,"-Acctivate training with Owen and Fahd
-Compiled and assisted Fahd with Blueview email correspondance"
"2025-11-05T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Client Relations",6.25,1250,"-Client transition communications and handover coordination including email summary (Nov 5th, 6th and 7th)
"
"2025-11-05T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Client Relations",6.5,0,"-ADFF opening night party and Fahd intro"
"2025-11-07T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Training",2.3333333333333335,466.6666666666667,"Completed training, correspondence review, and QuickBooks data verification."
"2025-11-09T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Client Relations",4.5,0,"-ADFF sponsor dinner and more introductions"
"2025-11-10T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Training",0.25,50,"-Phone meeting regarding emails and general questions"
"2025-11-13T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Training",4,800,"-Commission training
-Went through emails and general discussions
-Talked about new products/ideas"
"2025-11-19T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Training",1.1666666666666667,233.33333333333334,"-Went over po ordering, along with non standard items
-Also talked about Christmas and the stuff coming up"
"2025-11-24T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Client Relations",1.5,300,"-Discussed the Cozey job, along with issue review. "
"2025-11-25T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Client Relations",3,600,"-Cozey job site visit, went over items to pay attention to and how to deal with certain things regarding site visits or issues
-Took measurements and photos and gathered all details for further analysists"
"2025-11-25T00:00:00.000Z","RJCross Architectural Products Ltd.","12 Month Consulting","Client Relations",1,200,"-Cozey job site visit, went over items to pay attention to and how to deal with certain things regarding site visits or issues
-Took measurements and photos and gathered all details for further analysists (Waived/Split)"
